submission_id,text1_kappa,text2_kappa,text3_kappa,text4_kappa,text5_kappa
19,28.57142857,37.5,80.76923077,100,64.28571429
20,42.30769231,64.28571429,31.81818182,Loading...,Loading...
21,37.5,64.28571429,28.57142857,3.846153846,31.81818182
22,16.66666667,37.5,26.47058824,Loading...,Loading...
23,64.28571429,Loading...,64.28571429,16.66666667,37.5
24,77.27272727,80.76923077,77.27272727,Loading...,16.66666667
25,55.88235294,42.30769231,26.47058824,42.30769231,77.27272727
26,64.28571429,37.5,64.28571429,26.47058824,100
27,28.57142857,64.28571429,77.27272727,64.28571429,77.27272727
28,64.28571429,37.5,31.81818182,58.33333333,31.81818182
29,55.88235294,28.57142857,31.81818182,58.33333333,58.33333333
30,55.88235294,64.28571429,37.5,64.28571429,77.27272727
31,77.27272727,31.81818182,42.30769231,100,77.27272727
32,28.57142857,77.27272727,80.76923077,28.57142857,77.27272727
33,42.30769231,58.33333333,42.30769231,55.88235294,77.27272727
34,Loading...,100,55.88235294,42.30769231,42.30769231
35,64.28571429,37.5,77.27272727,77.27272727,77.27272727
36,77.27272727,100,80.76923077,31.81818182,77.27272727
37,80.76923077,3.846153846,3.846153846,64.28571429,42.30769231
38,64.28571429,42.30769231,37.5,64.28571429,31.81818182
39,42.30769231,55.88235294,58.33333333,28.57142857,37.5
40,42.30769231,31.81818182,100,55.88235294,31.81818182
41,31.81818182,31.81818182,100,28.57142857,26.47058824
42,58.33333333,64.28571429,28.57142857,77.27272727,42.30769231
43,77.27272727,42.30769231,16.66666667,16.66666667,58.33333333
44,#N/A,3.846153846,42.30769231,37.5,16.66666667
45,37.5,64.28571429,Loading...,64.28571429,64.28571429
46,28.57142857,42.30769231,64.28571429,42.30769231,31.81818182
47,Loading...,28.57142857,55.88235294,64.28571429,28.57142857
48,77.27272727,80.76923077,58.33333333,42.30769231,Loading...
49,64.28571429,31.81818182,100,31.81818182,58.33333333
50,55.88235294,28.57142857,28.57142857,64.28571429,26.47058824
51,58.33333333,31.81818182,42.30769231,64.28571429,42.30769231
52,Loading...,55.88235294,64.28571429,31.81818182,64.28571429
53,42.30769231,77.27272727,37.5,31.81818182,77.27272727
